"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","REGION","LLAVE_PANEL","ESTRATO","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","I339_1","D341_T","I342","D344","I345_1","I348","D347_T","D350","D351_T","INGTOT","INGTOTP","ingtrabw","RESIDENT","fa_def25"
2025,"02","1929702",1,"0082",1,1,"20241119297021008211",1,1,1,1,2,,1,44,1,2,20,10,1980,1,,,,,,,,,,,,,,,,5213,4781,2,,2,1,1,4,11,11,11,11,11,0,11,66,,66,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,4835,100,,,,,,4935,4935,4935,1,1024.9393711106632
2025,"02","1929702",1,"0082",1,1,"20241119297021008212",1,2,2,1,2,,2,44,2,2,20,4,1980,1,,,,,,,,,,,,,,,,5213,4781,4,,2,1,1,4,0,11,11,11,11,11,11,66,,66,1,,2,,2,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,,,,,,,1,960.7175046689431
2025,"02","1929702",1,"0082",1,1,"20241119297021008213",1,3,3,1,2,,1,23,3,3,7,2,2002,1,,,,,,,,,,,,,,,,5213,4781,4,,2,1,1,4,0,7,7,7,7,7,7,42,,42,1,,2,,2,,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,1,,,,,,,,,,,,,1,846.5969912174377
2025,"02","1929702",1,"0082",1,1,"20241119297021008214",1,4,3,1,2,,1,18,4,2,30,4,2006,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,5213,4781,4,,2,1,1,4,8,0,0,0,0,0,8,16,,16,1,,2,,2,,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,,,,,,,,,,,1,846.5969912174377
2025,"02","1929702",1,"0082",1,1,"20241119297021008215",1,5,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","26501",1,"0030",1,1,"202411265011003011",1,1,1,1,2,,2,41,1,1,22,12,1983,1,,,,,,,,,,,,,,,,3321,6512,3,5,1,,2,50,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,4,10000,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,10000,,,,,,,,2499,10000,10000,12499,1,1164.4415856246653
2025,"02","26501",1,"0030",1,1,"202411265011003012",1,2,2,1,2,,1,48,2,1,6,3,1976,1,,,,,,,,,,,,,,,,2211,8610,3,2,,,5,5999,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,4,6000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,7,,2,2,2,2,2,2,10,7,1,6000,,,,,,,,50,6000,6000,6050,1,1031.2524319644806
2025,"02","26501",1,"0030",1,1,"202411265011003013",1,3,3,1,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","26501",1,"0030",1,1,"202411265011003014",1,4,3,1,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","26501",1,"0031",1,1,"202411265011003111",1,1,1,1,2,,1,42,1,1,2,1,1983,1,,,,,,,,,,,,,,,,2611,6910,1,,2,1,1,3,6,6,6,6,6,6,0,36,,36,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,,,7000,,,,,,,7000,7000,7000,1,1242.2819618307194
2025,"02","26501",1,"0031",1,1,"202411265011003112",1,2,2,1,2,,2,41,2,2,21,10,1983,1,,,,,,,,,,,,,,,,2611,8423,3,2,,,5,5999,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,9000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,12,2,,2,2,2,2,2,2,10,7,1,9000,,,,,,,,2250,9000,9000,11250,1,1164.4415856246653
2025,"02","26501",1,"0031",1,1,"202411265011003113",1,3,3,1,2,,2,17,3,3,30,10,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1137.3981475158416
2025,"02","26501",1,"0031",1,1,"202411265011003114",1,4,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
